"X1","MTMade","NonMTMade"
"Bakery",27311.7,NA
"Dairy",480858.45,NA
"Meat",181074.64,NA
"Produce",235568.9,NA
"Grocery",272965.46,NA
"Beverages",181867.71,NA
"Beef",154082.02,NA
"Total",1533728.88,5326113.67
