"ACCTYR","ACCTMO","KW-Units","KWH-Units","GAS-DKT-Units","WATER-MCF","ELEC","GAS","Water-Sewer"
2007,4,7910,4321565,37081.5,2100.42,217610.52,306901.36,77019.86
2007,5,8158,4048612,24299.5,2053.47,205867.91,218859.57,75072.71
2007,6,7364,3861523,13781.2,1674.72,203940.8,145703.37,61705.22
2007,7,7997,4240177,11934,2330.02,264475.15,148634.18,85136.64
2007,8,8324,4305636,12009.7,2999.4,288238.78,149326.28,111829.53
2007,9,8469,4354727,20451.5,2817.91,283214.41,219900.89,105254.84
2007,10,8323,4586024,32024.6,2594.87,253986.52,330264.89,97164.4
2007,11,8652,4699218,42921.8,2218.62,239643.6,414557.25,83300.02
2007,12,8158,4347921,51974.6,2015.95,219114.47,488849.73,75934.36
2008,1,8508,4513489,57477.7,1465.52,199393.03,535972.53,55749.49
2008,2,8360.2,4526215,47065.9,2102.76,217016.37,449427.52,79167.41
2008,3,8025.2,4560572,46997.7,2037.3,260156.62,449597.39,76676.65
2008,4,8441,4654376,40557.7,1972.73,271861.94,396027.03,74372.56
2008,5,8326,4232955,26349.6,2110.62,257483.2,322975.89,79368.2
2008,6,8256,4114908,14996.1,1401.44,280973.92,180809.7,53473.01
2008,7,8169.99,4346153,11585.4,2023.79,252461.32,149644.27,53089.1
2008,8,8165,4258003,12337.7,2496.87,275606.77,156145.82,80630.75
2008,9,8723.01,4426654,23399.1,2019.93,302644.79,248291.8,79562.33
2008,10,8934,4669994,33382,2476.79,276275.78,334162.29,97435.67
2008,11,8529,4411055,37102.3,2290.76,242549.32,365851.75,90461.53
2008,12,8310,4570559,58567.8,2338.19,234657.98,557711.27,92799.58
2009,1,7999,4494153,52485,1728.44,230269.81,493134.62,69538.92
2009,2,8147,4287124,43611.9,1844.47,228593.56,418009.49,73240.18
2009,3,8172,4555619,47265.3,1794.49,243080.26,447537.69,71352.7
2009,4,8706,4523891,38029.4,1784.32,249606.02,368137.01,71135.6
2009,5,8215,4144651,24409.5,2064.46,246843.68,254795.47,81962.11
2009,6,8131,3962902,15992,1654.17,245864.9,183735.3,66378.59
2009,7,7624,4003810,12042.1,1592.64,230895.43,156556.96,63732.75
2009,8,8216,4086205,13490.9,1873.41,243361.82,169319.2,79662.54
2009,9,8964,4503298,18087.3,2178.8,277338.98,210367.16,92518.02
2009,10,8147,4524010,40099.4,2360.97,251656.79,407551.29,99803.75
2009,11,8252,4335181,41866.8,1998.06,229984.93,423876,84943.82
2009,12,8619,4492073,58032.6,1878.21,229466.41,603206.19,80015.91
2010,1,8252,4347054,50429,1594.3,227780.7,511981.16,68449.78
2010,2,8546,4304666,43115.3,1994.01,231973.48,435363.4,84953.84
2010,3,8408,4562760,38010.5,1888.89,250496.6,389071.87,80364.73
2010,4,8958,4441055,34921.6,1970.77,259313.19,360889.47,83811.72
2010,5,8137,4228505,28281.3,1995.54,252891.88,300988.33,84876.56
2010,6,8507,3935588,15886.6,1468.86,247681.9,190941.88,63478.91
2010,7,8607,4270105,11899.6,1284.01,282498.65,157139.47,55291.3
2010,8,8905,4173520,12829.2,2395.06,280124.27,165632.75,108590.84
2010,9,9592,4518190,21218.4,1924.6,295069.87,240746.66,87373.39
2010,10,9116,4612436,27805.7,2262.55,294753.71,299810.4,102370.84
2010,11,8405,4492026,46636.6,2146.19,257641.15,468136.59,97175.84
2010,12,8509,4431352,52860.4,2026.57,245441.9,524233.3,92202.28
2011,1,8319,4511042,50038.1,1463.7,265411.22,498995.31,67336.82
2011,2,8733,4370694,50105.2,2146.45,258366.21,499557.42,97798.07
2011,3,8444,4503564,40585.2,1956.55,271000.61,414131.15,88676.96
2011,4,8377,4394226,38591.3,1882.28,268312.18,396334.16,85778.13
